GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaPoet,com.squareup.javapoet,ClassName,2,575,1,67,0,100,1,55,0,22
JavaPoet,com.squareup.javapoet,NameAllocator,0,178,0,18,0,34,0,16,0,7
JavaPoet,com.squareup.javapoet,FieldSpec.Builder,31,96,3,3,6,23,3,11,1,10
JavaPoet,com.squareup.javapoet,LineWrapper,30,239,5,29,1,55,5,20,0,7
JavaPoet,com.squareup.javapoet,CodeWriter,6,1143,5,145,0,243,5,112,0,37
JavaPoet,com.squareup.javapoet,ClassName.new SimpleElementVisitor8() {...},12,33,0,0,1,4,1,4,1,4
JavaPoet,com.squareup.javapoet,MethodSpec.Builder,107,369,12,16,18,78,12,41,3,36
JavaPoet,com.squareup.javapoet,WildcardTypeName,46,180,5,17,7,30,10,14,5,8
JavaPoet,com.squareup.javapoet,CodeBlock,11,157,3,3,2,36,3,15,0,15
JavaPoet,com.squareup.javapoet,CodeBlock.CodeBlockJoiner,13,37,2,2,4,11,2,4,1,3
JavaPoet,com.squareup.javapoet,TypeSpec.Kind,0,156,0,0,0,27,0,2,0,2
JavaPoet,com.squareup.javapoet,CodeBlock.Builder,2,792,1,94,0,141,1,69,0,21
JavaPoet,com.squareup.javapoet,CodeWriter.Multiset,12,61,1,3,1,10,1,5,0,4
JavaPoet,com.squareup.javapoet,Util,2,243,2,35,0,49,2,31,0,11
JavaPoet,com.squareup.javapoet,LineWrapper.FlushType,0,34,0,0,0,2,0,1,0,1
JavaPoet,com.squareup.javapoet,AnnotationSpec,26,460,3,39,3,82,3,30,0,12
JavaPoet,com.squareup.javapoet,AnnotationSpec.Builder,0,187,0,12,0,26,0,12,0,6
JavaPoet,com.squareup.javapoet,ParameterSpec,23,234,3,13,4,46,5,16,2,11
JavaPoet,com.squareup.javapoet,TypeSpec.Builder,30,1272,27,131,4,202,26,92,0,39
JavaPoet,com.squareup.javapoet,TypeSpec,22,985,10,88,3,190,11,57,1,18
JavaPoet,com.squareup.javapoet,TypeVariableName,20,272,2,14,3,50,5,20,3,14
JavaPoet,com.squareup.javapoet,ParameterizedTypeName,51,233,5,21,7,40,8,16,3,8
JavaPoet,com.squareup.javapoet,TypeName.new SimpleTypeVisitor8() {...},23,127,5,18,5,29,5,19,0,9
JavaPoet,com.squareup.javapoet,JavaFile.Builder,4,134,4,6,0,23,4,9,0,8
JavaPoet,com.squareup.javapoet,AnnotationSpec.Visitor,0,75,0,2,0,10,0,7,0,6
JavaPoet,com.squareup.javapoet,JavaFile.new Appendable() {...},2,7,0,0,1,3,1,3,1,3
JavaPoet,com.squareup.javapoet,TypeName,98,531,37,75,12,115,34,48,2,24
JavaPoet,com.squareup.javapoet,ParameterSpec.Builder,31,107,3,5,6,25,3,11,1,9
JavaPoet,com.squareup.javapoet,FieldSpec,51,166,5,7,8,34,5,10,1,8
JavaPoet,com.squareup.javapoet,JavaFile.new SimpleJavaFileObject() {...},3,24,0,0,1,4,1,3,1,3
JavaPoet,com.squareup.javapoet,LineWrapper.RecordingAppendable,9,34,0,2,2,10,1,4,1,3
JavaPoet,com.squareup.javapoet,MethodSpec,14,713,8,60,2,135,8,40,0,14
JavaPoet,com.squareup.javapoet,ArrayTypeName,18,114,0,8,3,23,3,15,3,11
JavaPoet,com.squareup.javapoet,JavaFile,80,440,8,30,21,80,10,27,5,13
